Maturity (Years),Monthly Spot Rate (%)
10.250000000000002,4.3389
10.333333333333336,4.344
10.416666666666668,4.3492
10.500000000000002,4.3543
10.583333333333336,4.3595
10.666666666666668,4.3647
10.750000000000002,4.3699
10.833333333333336,4.3752
10.916666666666668,4.3804
11.000000000000002,4.3857
11.083333333333336,4.391
11.166666666666668,4.3963
11.250000000000002,4.4016
11.333333333333336,4.407
11.416666666666668,4.4123
11.500000000000002,4.4177
11.583333333333336,4.4231
11.666666666666668,4.4285
11.750000000000002,4.4339
11.833333333333336,4.4393
11.916666666666668,4.4447
12.000000000000002,4.4501
12.083333333333336,4.4556
12.166666666666668,4.461
12.250000000000002,4.4665
12.333333333333336,4.472
12.416666666666668,4.4775
12.500000000000002,4.4829
12.583333333333336,4.4884
12.666666666666668,4.4939
12.750000000000002,4.4994
12.833333333333336,4.5049
12.916666666666668,4.5104
13.000000000000002,4.516
13.083333333333336,4.5215
13.166666666666668,4.527
13.250000000000002,4.5325
13.333333333333336,4.538
13.41666666666667,4.5435
13.500000000000002,4.549
13.583333333333336,4.5545
13.66666666666667,4.56
13.750000000000002,4.5656
13.833333333333336,4.5711
13.91666666666667,4.5765
14.000000000000002,4.582
14.083333333333336,4.5875
14.16666666666667,4.593
14.250000000000002,4.5985
14.333333333333336,4.6039
14.41666666666667,4.6094
14.500000000000002,4.6148
14.583333333333336,4.6203
14.66666666666667,4.6257
14.750000000000002,4.6311
14.833333333333336,4.6365
14.91666666666667,4.6419
15.000000000000002,4.6473
15.083333333333336,4.6527
15.16666666666667,4.658
15.250000000000002,4.6634
15.333333333333336,4.6687
15.41666666666667,4.674
15.500000000000002,4.6793
15.583333333333336,4.6846
15.66666666666667,4.6898
15.750000000000002,4.6951
15.833333333333336,4.7003
15.91666666666667,4.7055
16.0,4.7107
16.083333333333332,4.7158
16.166666666666668,4.721
16.25,4.7261
16.333333333333336,4.7312
16.416666666666668,4.7362
16.5,4.7413
16.583333333333336,4.7463
16.666666666666668,4.7513
16.75,4.7563
16.833333333333336,4.7612
16.916666666666668,4.7661
17.0,4.771
17.083333333333336,4.7759
17.166666666666668,4.7807
17.25,4.7855
17.333333333333336,4.7903
17.416666666666668,4.795
17.5,4.7997
17.583333333333336,4.8044
17.666666666666668,4.809
17.75,4.8137
17.833333333333336,4.8182
17.916666666666668,4.8228
18.0,4.8273
18.083333333333336,4.8317
18.166666666666668,4.8362
18.25,4.8406
18.333333333333336,4.8449
18.416666666666668,4.8493
18.5,4.8535
18.583333333333336,4.8578
18.666666666666668,4.862
18.75,4.8661
18.833333333333336,4.8703
18.916666666666668,4.8743
19.0,4.8784
19.083333333333336,4.8824
19.166666666666668,4.8863
19.25,4.8902
19.333333333333336,4.8941
19.416666666666668,4.8979
19.5,4.9016
19.583333333333336,4.9053
19.666666666666668,4.909
19.75,4.9126
19.833333333333336,4.9162
19.916666666666668,4.9197
20.0,4.9232
20.083333333333336,4.9266
20.166666666666668,4.93
20.25,4.9333
20.333333333333336,4.9365
20.416666666666668,4.9397
20.5,4.9429
20.583333333333336,4.946
20.666666666666668,4.949
20.75,4.952
20.833333333333336,4.9549
20.916666666666668,4.9578
21.0,4.9606
21.083333333333336,4.9634
21.166666666666668,4.9661
21.25,4.9687
21.333333333333336,4.9713
21.416666666666668,4.9738
21.5,4.9763
21.583333333333336,4.9786
21.666666666666668,4.981
21.75,4.9832
21.833333333333336,4.9854
21.916666666666668,4.9876
22.0,4.9896
22.083333333333336,4.9916
22.166666666666668,4.9936
22.25,4.9954
22.333333333333336,4.9972
22.416666666666668,4.999
22.5,5.0006
22.583333333333336,5.0022
22.666666666666668,5.0037
