Maturity (Years),Par Yield (%),Spot Rate (%)
0.08333333333333333,4.38,4.38
0.25,4.33,4.33
0.5,4.26,4.26
1.0,4.04,4.04
2.0,3.89,3.8845
3.0,3.91,3.9073
5.0,3.98,3.985
7.0,4.11,4.1326
10.0,4.27,4.3237
20.0,4.65,4.9232
30.0,4.64,4.7865
